ecoregion,stock_name,species_type,Stokc_Name_new,
CS,anb-78ab,Demersal,ank.27.78ab,ank.27.78ab
CS,anp-78ab,Demersal,mon.27.78ab,mon.27.78ab
CS,bss-47,Demersal,bss.27.4bc7ad-h,bss.27.4bc7ad-h
CS,bss-wosi,Demersal,bss.27.6a7bj,bss.27.6a7bj
CS,cod-7e-k,Demersal,cod.27.7e-k,cod.27.7e-k
CS,nep-16,Nephrops,nep.fu.16,#N/A
CS,nep-17,Nephrops,nep.fu.17,#N/A
CS,nep-19,Nephrops,nep.fu.19,#N/A
CS,nep-2021,Nephrops,nep.fu.2021,#N/A
CS,nep-22,Nephrops,nep.fu.22,#N/A
CS,had-7b-k,Demersal,had.27.7b-k,had.27.7b-k
CS,her-irls,Pelagic,her.27.irls,her.27.irls
CS,hke-nrtn,Demersal,hke.27.3a46-8abd,hke.27.3a46-8abd
CS,mgw-78,Demersal,meg.27.7b-k8abd,meg.27.7b-k8abd
CS,ple-7b-c,Demersal,ple.27.7bc,ple.27.7bc
CS,ple-7h-k,Demersal,ple.27.7h-k,#N/A
CS,ple-celt,Demersal,ple.27.7fg,ple.27.7fg
CS,pol-celt,Demersal,pol.27.67,pol.27.67
CS,raj-celt,Demersal,raj-celt,#N/A
CS,raj-celt,Demersal,raj-celt,#N/A
CS,rje-7fg,Demersal,rje.27.7fg,#N/A
CS,rjf-celt,Demersal,rjf.27.67,#N/A
CS,rji-celt,Demersal,rji-celt,#N/A
CS,rjn-678abd,Demersal,rjn.27.67,#N/A
CS,rju-7bj,Demersal,rju-7bj,#N/A
CS,sol-7b-c,Demersal,sol.27.7bc,sol.27.7bc
CS,sol-7h-k,Demersal,sol.27.7h-k,#N/A
CS,sol-celt,Demersal,sol.27.7fg,sol.27.7fg
CS,spr-celt,Demersal,spr.27.67a-cf-k,#N/A
CS,whg-7e-k,Demersal,whg.27.7b-ce-k,whg.27.7b-ce-k
IS,cod-iris,Demersal,cod.27.7a,cod.27.7a
IS,nep-14,Nephrops,nep.fu.14,#N/A
IS,nep-15,Nephrops,nep.fu.15,#N/A
IS,nep-18,Nephrops,nep.fu.18,#N/A
IS,had-iris,Demersal,had.27.7a,had.27.7a
IS,her-nirs,Pelagic,her.27.nirs,her.27.nirs
IS,ple-iris,Demersal,ple.27.7a,ple.27.7a
IS,rjc-7afg,Demersal,rjc.27.7afg,#N/A
IS,rjh-7afg,Demersal,rjh.27.7afg,#N/A
IS,rjm-7aeh,Demersal,rjm.27.7ae-h,#N/A
IS,sol-iris,Demersal,sol.27.7a,sol.27.7a
IS,whg-iris,Demersal,whg.27.7a,whg.27.7a
WD,ALB-N,Pelagic,ALB-N,#N/A
WD,BFT-E,Pelagic,BFT-E,#N/A
WD,BFT-E,Pelagic,BFT-E,#N/A
WD,boc-nea,Pelagic,boc.27.6-8,boc.27.6-8
WD,bsk-nea,Pelagic,bsk-nea,#N/A
WD,dgs-nea,Demersal,dgs.27.nea,dgs.27.nea
WD,her-noss,Pelagic,her.27.1-24a514a,her.27.1-24a514a
WD,hom-nsea,Pelagic,hom.27.3a4bc7d,hom.27.3a4bc7d
WD,hom-west,Pelagic,hom.27.2a4a5b6a7a-ce-k8,hom.27.2a4a5b6a7a-ce-k8
WD,mac-nea,Pelagic,mac.27.nea,mac.27.nea
WD,por-nea,Pelagic,por-nea,#N/A
WD,whb-comb,Pelagic,whb.27.1-91214,whb.27.1-91214
WS,ang-ivvi,Demersal,anf.27.3a46,#N/A
WS,cod-rock,Demersal,cod.27.6b,cod.27.6b
WS,cod-scow,Demersal,cod.27.6a,cod.27.6a
WS,nep-11,Nephrops,nep.fu.11,#N/A
WS,nep-12,Nephrops,nep.fu.12,#N/A
WS,nep-13,Nephrops,nep.fu.13,#N/A
WS,had-346a,Demersal,had.27.46a20,#N/A
WS,had-rock,Demersal,had.27.6b,had.27.6b
WS,her-67bc,Pelagic,her.27.6a7bc,her.27.6a7bc
WS,lin-oth,Demersal,lin.27.3a4a6-91214,lin.27.3a4a6-91214
WS,meg-4a6a,Demersal,lez.27.4a6a,#N/A
WS,meg-rock,Demersal,lez.27.6b,#N/A
WS,rjc-VI,Demersal,rjc.27.6,#N/A
WS,rjm-67bj,Demersal,rjm.27.67bj,#N/A
WS,whg-scow,Demersal,whg.27.6a,whg.27.6a
,,Demersal,whg.27.6b,
,,Demersal,nep.27.7outfu,
