Name_Xxx,Land,Upper,CorrectName_LandXXX
Alb,Land,ALB,LandALB
Anf,Land,ANF,LandANF
Bft,Land,BFT,LandBFT
Boc,Land,BOC,LandBOC
Cod,Land,COD,LandCOD
Had,Land,HAD,LandHAD
Her,Land,HER,LandHER
Hke,Land,HKE,LandHKE
Jax ,Land,JAX ,LandJAX 
Jod,Land,JOD,LandJOD
Lem,Land,LEM,LandLEM
Lez,Land,LEZ,LandLEZ
Lin,Land,LIN,LandLIN
Mac,Land,MAC,LandMAC
Nep,Land,NEP,LandNEP
Pil,Land,PIL,LandPIL
Ple,Land,PLE,LandPLE
Pok,Land,POK,LandPOK
Raj,Land,RAJ,LandRAJ
Sca,Land,SCA,LandSCA
Sol,Land,SOL,LandSOL
Spr,Land,SPR,LandSPR
Squ,Land,SQU,LandSQU
Swo,Land,SWO,LandSWO
Whb,Land,WHB,LandWHB
Whg,Land,WHG,LandWHG
Wit,Land,WIT,LandWIT
